#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# racial decisions - hidden, no local
ai_race_ogre;;;;;;;;;;;;;;x
ai_race_orc;;;;;;;;;;;;;;x
ai_race_goblin;;;;;;;;;;;;;;x
ai_race_elf;;;;;;;;;;;;;;x
ai_race_beastman;;;;;;;;;;;;;;x
ai_race_skaven;;;;;;;;;;;;;;x
ai_race_nehekharan;;;;;;;;;;;;;;x
ai_race_halfling;;;;;;;;;;;;;;x
ai_race_chaos_dwarf;;;;;;;;;;;;;;x
ai_race_dwarf;;;;;;;;;;;;;;x
ai_race_human;;;;;;;;;;;;;;x
# spell decisions
decision_lore_back;Choose other lore;;;;;;;;;;;;;x
decision_lore_light;Lore of Light spells;;;;;;;;;;;;;x
decision_lore_ice;Lore of Ice spells;;;;;;;;;;;;;x
decision_open_spellbook;Open the spellbook;;;;;;;;;;;;;x
decision_close_spellbook;Close the spellbook;;;;;;;;;;;;;x
# chaos decisions
decision_reveal_chaos_religion;Reveal yourself as chaos worshipper;;;;;;;;;;;;;x
decision_reveal_chaos_religion_desc;Reveal yourself as chaos worshipper;;;;;;;;;;;;;x
# join_chas_invasion
decision_join_chaos_invasion;Take part in Chaos invasion;;;;;;;;;;;;;x
decision_join_chaos_invasion_desc;Allows character to join the ongoing Chaos Invasion.;;;;;;;;;;;;;x
chaos_invasion_tooltip;Requires that True Champion of Chaos leads an invasion.;;;;;;;;;;;;;x
# chaos struggle
decision_chaos_struggle_help;Call for help against forces of Chaos;;;;;;;;;;;;;x
decision_chaos_struggle_help_desc;Sends a call for help to every ruler of forces of order.;;;;;;;;;;;;;x
